review,tokens,explicit aspects,explicit opinion,implicit aspects,implicit opinion,is_suggestion,explicit aspects positions,explicit opinion positions,aspect_tags,review_number,total_aspects,has_aspect,fold
Excelente smart tv. E foi entregue vem antes do prazo informado .,"['Excelente', 'smart', 'tv', '.', 'E', 'foi', 'entregue', 'vem', 'antes', 'do', 'prazo', 'informado', '.']",['smart tv'],['excelente'],['entrega'],['entregue vem antes do prazo '],,"[[1, 3]]","[[0, 1]]","['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,1,1,1
Gosto muito dos produtos de vcs sempre entrega com antecedência e ótimo,"['Gosto', 'muito', 'dos', 'produtos', 'de', 'vcs', 'sempre', 'entrega', 'com', 'antecedência', 'e', 'ótimo']","['produtos', 'entrega']","['gosto muito', 'antecedência']",[],[],,"[[3, 4], [7, 8]]","[[0, 2], [9, 10]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']",131,2,1,1
"PRODUTO DE ÓTIMA QUALIDADE, MUITO SATISFEITO PELA COMPRA DO PRODUTO.","['PRODUTO', 'DE', 'ÓTIMA', 'QUALIDADE', ',', 'MUITO', 'SATISFEITO', 'PELA', 'COMPRA', 'DO', 'PRODUTO', '.']",['produto'],['ótima qualidade'],[],[],,"[[0, 1]]","[[2, 4]]","['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",511,1,1,1
E a melhor marca que existe um produto de alta qualidade muito bom mesmo.,"['E', 'a', 'melhor', 'marca', 'que', 'existe', 'um', 'produto', 'de', 'alta', 'qualidade', 'muito', 'bom', 'mesmo', '.']",['produto'],['alta qualidade muito bom mesmo'],[],[],,"[[7, 8]]","[[9, 14]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",522,1,1,1
Gostei muito do produto. Ja faz 4 meses que comprei contínua impecavel,"['Gostei', 'muito', 'do', 'produto', '.', 'Ja', 'faz', '4', 'meses', 'que', 'comprei', 'contínua', 'impecavel']",['produto'],['gostei muito'],['produto'],['impecavel'],,"[[3, 4]]","[[0, 2]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",532,1,1,1
Após pesquisar muito sobre o aparelho decidi comprar e estou muito satisfeita! Imagem e som ótimos. Entrega dentro do prazo.,"['Após', 'pesquisar', 'muito', 'sobre', 'o', 'aparelho', 'decidi', 'comprar', 'e', 'estou', 'muito', 'satisfeita', '!', 'Imagem', 'e', 'som', 'ótimos', '.', 'Entrega', 'dentro', 'do', 'prazo', '.']","['aparelho', 'imagem', 'som', 'entrega']","['muito satisfeita', 'ótimos', 'ótimos', 'dentro do prazo']",[],[],,"[[5, 6], [13, 14], [15, 16], [18, 19]]","[[10, 12], [16, 17], [16, 17], [19, 22]]","['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']",541,4,1,1
"Adorei, entrega super rápida, tv linda, imagem linda, super indico, estou usando o netflix , está td perfeito, otima qualidade.","['Adorei', ',', 'entrega', 'super', 'rápida', ',', 'tv', 'linda', ',', 'imagem', 'linda', ',', 'super', 'indico', ',', 'estou', 'usando', 'o', 'netflix', ',', 'está', 'td', 'perfeito', ',', 'otima', 'qualidade', '.']","['entrega', 'tv', 'imagem']","['super rápida', 'linda', 'linda']","['produto', 'produto', 'produto']","['adorei', 'super indico', 'otima qualidade']",,"[[2, 3], [6, 7], [9, 10]]","[[3, 5], [7, 8], [10, 11]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",121,3,1,1
Mais nao conseguir fazer os aplicativos pegar mais de qualquer forma gostei do produto,"['Mais', 'nao', 'conseguir', 'fazer', 'os', 'aplicativos', 'pegar', 'mais', 'de', 'qualquer', 'forma', 'gostei', 'do', 'produto']",['produto'],['gostei'],[],[],,"[[13, 14]]","[[11, 12]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']",551,1,1,1
"A Smart TV com som e imagens perfeitas, para pequenos ambientes, como por exemplo quarto, cozinha, etc.","['A', 'Smart', 'TV', 'com', 'som', 'e', 'imagens', 'perfeitas', ',', 'para', 'pequenos', 'ambientes', ',', 'como', 'por', 'exemplo', 'quarto', ',', 'cozinha', ',', 'etc', '.']","['som', 'imagens']","['perfeitas', 'perfeitas']",[],[],,"[[4, 5], [6, 7]]","[[7, 8], [7, 8]]","['O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",561,2,1,1
"Está atendendo o esperado. Som um pouco baixo, uma tv dessas poderia vir com som mais alto.","['Está', 'atendendo', 'o', 'esperado', '.', 'Som', 'um', 'pouco', 'baixo', ',', 'uma', 'tv', 'd', 'essas', 'poderia', 'vir', 'com', 'som', 'mais', 'alto', '.']",['som'],['pouco baixo'],['produto'],['está atendendo o esperado'],,"[[5, 6]]","[[7, 9]]","['O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",571,1,1,1
