review,tokens,explicit aspects,explicit opinion,implicit aspects,implicit opinion,is_suggestion,explicit aspects positions,explicit opinion positions,aspect_tags
Excelente smart tv. E foi entregue vem antes do prazo informado .,"['Excelente', 'smart', 'tv', '.', 'E', 'foi', 'entregue', 'vem', 'antes', 'do', 'prazo', 'informado', '.']",['smart tv'],['excelente'],['entrega'],['entregue vem antes do prazo '],,"[[1, 3]]","[[0, 1]]","['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Imagem ótima recursos de web bons , recomendo não vai se arrepender","['Imagem', 'ótima', 'recursos', 'de', 'web', 'bons', ',', 'recomendo', 'não', 'vai', 'se', 'arrepender']","['imagem', 'recursos de web']","['ótima', 'bons']",['produto'],['recomendo'],,"[[0, 1], [2, 5]]","[[1, 2], [5, 6]]","['B-ASP', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"produto ótimo, entrega antes do prazo previsto, parabéns a parceria. continuo comprando . após falhar paro! e compreu uma para minha filha .","['produto', 'ótimo', ',', 'entrega', 'antes', 'do', 'prazo', 'previsto', ',', 'parabéns', 'a', 'parceria', '.', 'continuo', 'comprando', '.', 'após', 'falhar', 'paro', '!', 'e', 'compreu', 'uma', 'para', 'minha', 'filha', '.']","['produto', 'entrega']","['ótimo', 'antes do prazo previsto']",[],[],,"[[0, 1], [3, 4]]","[[1, 2], [4, 8]]","['B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Muito bom o produto, esta tv está entre as das ultimas gerações, muinto simples, mas está nas ultimas gerações de tv. Fácil de usar, muito boa a tv","['Muito', 'bom', 'o', 'produto', ',', 'esta', 'tv', 'está', 'entre', 'as', 'das', 'ultimas', 'gerações', ',', 'muinto', 'simples', ',', 'mas', 'está', 'nas', 'ultimas', 'gerações', 'de', 'tv', '.', 'Fácil', 'de', 'usar', ',', 'muito', 'boa', 'a', 'tv']","['produto', 'tv', 'tv']","['muito bom', 'está entre as das ultimas gerações', 'muito boa']","['funcionalidades', 'usabilidade']","['muinto simples', 'fácil de usar']",,"[[3, 4], [6, 7], [32, 33]]","[[0, 2], [7, 13], [29, 31]]","['O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']"
"a entrega foi super rápido... muito antes do prazo, a TV é ótima!!","['a', 'entrega', 'foi', 'super', 'rápido', '...', 'muito', 'antes', 'do', 'prazo', ',', 'a', 'TV', 'é', 'ótima', '!', '!']","['entrega', 'tv']","['super rápido... muito antes do prazo', 'ótima']",[],[],,"[[1, 2], [12, 13]]","[[3, 10], [14, 15]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']"
O controle remoto podia ser mais anatômico. Com teclas diferenciadas perceptíveis ao toque.,"['O', 'controle', 'remoto', 'podia', 'ser', 'mais', 'anatômico', '.', 'Com', 'teclas', 'diferenciadas', 'perceptíveis', 'a', 'o', 'toque', '.']","['controle remoto', 'controle remoto']","['podia ser mais anatômico', 'teclas diferenciadas perceptíveis ao toque']",[],[],,"[[1, 3], [1, 3]]","[[3, 7], [9, 15]]","['O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"O produto é muito bom, conforme esperado. Ótimos recurso. Excelente imagem.","['O', 'produto', 'é', 'muito', 'bom', ',', 'conforme', 'esperado', '.', 'Ótimos', 'recurso', '.', 'Excelente', 'imagem', '.']","['produto', 'recurso', 'imagem']","['muito bom', 'ótimos', 'excelente']",[],[],,"[[1, 2], [10, 11], [13, 14]]","[[3, 5], [9, 10], [12, 13]]","['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O']"
Ja tenho smart tv samsung e não troco de marca muito bom produto imagem e acessibilidade a internet muito rapida,"['Ja', 'tenho', 'smart', 'tv', 'samsung', 'e', 'não', 'troco', 'de', 'marca', 'muito', 'bom', 'produto', 'imagem', 'e', 'acessibilidade', 'a', 'internet', 'muito', 'rapida']","['produto', 'imagem', 'acessibilidade a internet']","['muito bom', 'muito bom', 'muito rapida']",[],[],,"[[12, 13], [13, 14], [15, 18]]","[[10, 12], [10, 12], [18, 20]]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'B-ASP', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O']"
"Somente o som deixou um pouco a desejar, mas no mais tudo certo","['Somente', 'o', 'som', 'deixou', 'um', 'pouco', 'a', 'desejar', ',', 'mas', 'no', 'mais', 'tudo', 'certo']",['som'],['deixou um pouco a desejar'],[],[],,"[[2, 3]]","[[3, 8]]","['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"tv muito boa ,imagem ótima,internet pega fácil,peca apenas no áudio muito fraco pelo menos a de 32 pol. o áudio é fraco...","['tv', 'muito', 'boa', ',', 'imagem', 'ótima', ',', 'internet', 'pega', 'fácil', ',', 'peca', 'apenas', 'no', 'áudio', 'muito', 'fraco', 'pelo', 'menos', 'a', 'de', '32', 'pol', '.', 'o', 'áudio', 'é', 'fraco', '...']","['tv', 'imagem', 'internet', 'áudio', 'áudio']","['muito boa', 'ótima', 'pega fácil', 'muito fraco', 'fraco']",[],[],,"[[0, 1], [4, 5], [7, 8], [14, 15], [14, 15]]","[[1, 3], [5, 6], [8, 10], [15, 17], [16, 17]]","['B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
